Customer_ID,Customer_Name,Email,Phone,Gender,Age,City,State,Country,Pincode,Industry,Customer_Segment,Signup_Date,Last_Purchase_Date,Loyalty_Status,Validation_Status
CUST0001,Vihaan Hegde,vihaan.hegde23@yahoo.com,6960013389,Male,35,Bengaluru,Karnataka,India,560081,Manufacturing,Retail,2025-12-19,2026-05-07,Platinum,Valid
CUST0002,Neha Kulkarni,neha.kulkarni30@gmail.com,7351161559,Female,55,Mysuru,Karnataka,India,570015,Healthcare,Wholesale,2024-05-07,2025-05-29,Gold,Valid
CUST0003,Nikhil Shah,nikhil.shah83@outlook.com,7413164752,Male,58,Lucknow,Uttar Pradesh,India,226055,E-Commerce,Retail,2025-12-19,2026-06-11,Platinum,Valid
CUST0004,Yash Chatterjee,yash.chatterjee58@novakart.in,7503056413,Male,64,Noida,Uttar Pradesh,India,201037,IT Services,Wholesale,2025-10-20,2026-02-14,Gold,Valid
CUST0005,Rithvik Rao,rithvik.rao84@outlook.com,8328710122,Male,33,Nagpur,Maharashtra,India,440086,IT Services,Retail,2025-09-02,2026-04-29,Gold,Valid
CUST0006,Sonam Saxena,sonam.saxena97@gmail.com,8146270482,Female,18,Coimbatore,Tamil Nadu,India,641023,Financial Services,Wholesale,2025-10-16,2026-01-25,Gold,Valid
CUST0007,Kunal Menon,kunal.menon86@gmail.com,8430391171,Male,28,Chennai,Tamil Nadu,India,600026,Healthcare,Wholesale,2024-06-18,2025-03-16,Gold,Valid
CUST0008,Riya Choudhury,riya.choudhury49@yahoo.com,8787133150,Female,52,Ahmedabad,Gujarat,India,380085,Retail,Retail,2025-12-25,2026-06-04,Silver,Valid
CUST0009,Varun Reddy,varun.reddy75@gmail.com,7829973763,Male,20,Hyderabad,Telangana,India,500022,E-Commerce,Wholesale,2025-03-09,2025-10-05,Gold,Valid
CUST0010,Rekha Patel,rekha.patel17@gmail.com,6333872624,Female,61,Jaipur,Rajasthan,India,302041,Financial Services,Retail,2025-07-17,2025-09-05,Gold,Valid
CUST0011,Aarav Reddy,aarav.reddy62@yahoo.com,9026064746,Male,66,Kochi,Kerala,India,682029,Corporate,Retail,2024-02-29,2025-10-14,Gold,Valid
CUST0012,Akash Patel,akash.patel17@yahoo.com,7191361939,Male,21,Mumbai,Maharashtra,India,400089,Manufacturing,Retail,2025-08-20,2026-06-05,Gold,Valid
CUST0013,Kavya Shetty,kavya.shetty43@yahoo.com,8751079911,Female,60,Kolkata,West Bengal,India,700074,E-Commerce,Corporate,2024-03-11,2024-11-16,Silver,Valid
CUST0014,Ishita Nair,ishita.nair88@outlook.com,6841241182,Female,46,Mysuru,Karnataka,India,570046,Manufacturing,Wholesale,2024-12-17,2025-07-13,Silver,Valid
CUST0015,Bhavna Pillai,bhavna.pillai21@gmail.com,6052427868,Female,34,Bengaluru,Karnataka,India,560024,Corporate,Retail,2025-07-12,2025-07-30,Platinum,Valid
CUST0016,Sunita Chatterjee,sunita.chatterjee49@gmail.com,6533158692,Female,27,Ahmedabad,Gujarat,India,380030,Retail,Retail,2024-07-02,2025-06-07,Gold,Valid
CUST0017,Aishwarya Saxena,aishwarya.saxena30@outlook.com,6733754330,Female,65,Kolkata,West Bengal,India,700061,Financial Services,Corporate,2024-03-12,2026-05-12,Gold,Valid
CUST0018,Anushka Malhotra,anushka.malhotra13@outlook.com,7940196556,Female,50,Coimbatore,Tamil Nadu,India,641024,Corporate,Corporate,2024-09-17,2024-11-01,Platinum,Valid
CUST0019,Ananya Banerjee,ananya.banerjee56@yahoo.com,8951484656,Female,69,Mangaluru,Karnataka,India,575080,IT Services,Retail,2025-11-11,2026-02-16,Silver,Valid
CUST0020,Manav Singh,manav.singh46@outlook.com,8777387214,Male,53,Coimbatore,Tamil Nadu,India,641094,E-Commerce,Wholesale,2024-04-05,2026-05-14,Platinum,Valid
CUST0021,Manav Kumar,manav.kumar15@gmail.com,6769367632,Male,69,Bengaluru,Karnataka,India,560023,Corporate,Corporate,2025-12-13,2026-04-24,Silver,Valid
CUST0022,Sneha Chatterjee,sneha.chatterjee68@gmail.com,8798687277,Female,33,Mysuru,Karnataka,India,570041,Financial Services,Wholesale,2025-06-17,2026-02-20,Gold,Valid
CUST0023,Pranav Kulkarni,pranav.kulkarni44@yahoo.com,6223623166,Male,22,Noida,Uttar Pradesh,India,201079,Retail,Corporate,2024-07-30,2025-10-03,Gold,Valid
CUST0025,Aishwarya Bhat,aishwarya.bhat69@yahoo.com,6699016272,Female,69,Mumbai,Maharashtra,India,400043,Corporate,Corporate,2025-04-10,2025-09-24,Gold,Valid
CUST0026,Smriti Das,smriti.das42@novakart.in,6531003309,Female,42,Chennai,Tamil Nadu,India,600040,Manufacturing,Retail,2024-04-27,2025-11-25,Gold,Valid
CUST0027,Ramesh Nambiar,ramesh.nambiar87@yahoo.com,6241904966,Male,34,Kolkata,West Bengal,India,700019,Financial Services,Wholesale,2025-10-04,2026-02-05,Platinum,Valid
CUST0028,Manav Saxena,manav.saxena82@gmail.com,9518506716,Male,61,Lucknow,Uttar Pradesh,India,226091,Corporate,Corporate,2025-03-21,2025-06-19,Platinum,Valid
CUST0029,Priyanka Trivedi,priyanka.trivedi65@novakart.in,8314737996,Female,52,Noida,Uttar Pradesh,India,201013,Corporate,Corporate,2025-05-14,2025-08-30,Gold,Valid
CUST0031,Swati Trivedi,swati.trivedi61@yahoo.com,8788568557,Female,19,Mysuru,Karnataka,India,570049,Retail,Corporate,2024-07-16,2025-06-04,Silver,Valid
CUST0032,Sai Shetty,sai.shetty85@outlook.com,8134352408,Male,31,Chennai,Tamil Nadu,India,600045,Healthcare,Retail,2024-10-26,2025-03-04,Silver,Valid
CUST0033,Meera Saxena,meera.saxena71@novakart.in,6471167190,Female,18,Chennai,Tamil Nadu,India,600029,Retail,Wholesale,2024-09-11,2025-01-10,Gold,Valid
CUST0034,Priyanka Chawla,priyanka.chawla67@novakart.in,9499091334,Female,68,Delhi,Delhi,India,110030,Healthcare,Retail,2024-03-17,2024-08-24,Silver,Valid
CUST0035,Abhinav Kulkarni,abhinav.kulkarni14@outlook.com,9134936183,Male,62,Chennai,Tamil Nadu,India,600044,Retail,Retail,2024-06-18,2025-04-28,Silver,Valid
CUST0036,Swati Verma,swati.verma44@novakart.in,6906594013,Female,47,Bengaluru,Karnataka,India,560096,Retail,Corporate,2024-06-28,2025-10-22,Platinum,Valid
CUST0037,Kavya Nair,kavya.nair21@novakart.in,8125674680,Female,55,Jaipur,Rajasthan,India,302021,E-Commerce,Corporate,2024-04-28,2026-06-28,Gold,Valid
CUST0038,Bhavna Shah,bhavna.shah62@novakart.in,9703482477,Female,18,Hyderabad,Telangana,India,500013,Financial Services,Wholesale,2024-09-02,2025-02-11,Platinum,Valid
CUST0039,Sonam Sharma,sonam.sharma24@yahoo.com,7748467737,Female,53,Chennai,Tamil Nadu,India,600059,Healthcare,Retail,2024-05-19,2024-07-29,Platinum,Valid
CUST0040,Smriti Trivedi,smriti.trivedi10@outlook.com,9278755886,Female,44,Jaipur,Rajasthan,India,302051,Corporate,Retail,2025-08-08,2026-02-20,Platinum,Valid
CUST0041,Abhinav Patel,abhinav.patel59@novakart.in,7702895171,Male,38,Coimbatore,Tamil Nadu,India,641068,Corporate,Retail,2025-02-23,2026-05-14,Platinum,Valid
CUST0042,Aditya Pillai,aditya.pillai89@outlook.com,8865780913,Male,68,Mangaluru,Karnataka,India,575039,IT Services,Wholesale,2024-04-10,2026-05-28,Silver,Valid
CUST0043,Suresh Nair,suresh.nair15@gmail.com,8562386922,Male,62,Pune,Maharashtra,India,411020,Healthcare,Wholesale,2025-11-30,2026-01-30,Gold,Valid
CUST0044,Sunita Rao,sunita.rao68@outlook.com,9482175946,Female,32,Mysuru,Karnataka,India,570068,IT Services,Corporate,2025-05-09,2025-07-02,Silver,Valid
CUST0045,Sameer Agarwal,sameer.agarwal12@outlook.com,8090974395,Male,40,Ahmedabad,Gujarat,India,380091,E-Commerce,Retail,2025-11-25,2026-06-06,Platinum,Valid
CUST0046,Dev Das,dev.das66@outlook.com,7145623285,Male,58,Coimbatore,Tamil Nadu,India,641074,E-Commerce,Corporate,2025-05-08,2026-06-24,Silver,Valid
CUST0047,Rekha Saxena,rekha.saxena19@novakart.in,9851604817,Female,39,Lucknow,Uttar Pradesh,India,226096,E-Commerce,Wholesale,2025-08-21,2026-03-04,Platinum,Valid
CUST0048,Meera Bhat,meera.bhat88@outlook.com,9461200471,Female,32,Hyderabad,Telangana,India,500040,IT Services,Wholesale,2025-04-09,2025-10-15,Silver,Valid
CUST0049,Sunita Hegde,sunita.hegde93@novakart.in,9405377351,Female,64,Lucknow,Uttar Pradesh,India,226079,Retail,Wholesale,2025-02-11,2025-07-02,Gold,Valid
CUST0050,Ishan Saxena,ishan.saxena92@yahoo.com,6532931839,Male,70,Kolkata,West Bengal,India,700039,Financial Services,Corporate,2025-09-02,2025-09-03,Silver,Valid
CUST0051,Shreya Rao,shreya.rao24@yahoo.com,6539502402,Female,52,Nagpur,Maharashtra,India,440077,Retail,Retail,2025-05-02,2025-12-17,Platinum,Valid
CUST0052,Bhavna Agarwal,bhavna.agarwal88@yahoo.com,8700766177,Female,24,Delhi,Delhi,India,110020,Corporate,Corporate,2024-03-08,2024-07-15,Platinum,Valid
CUST0053,Priyanka Malhotra,priyanka.malhotra58@outlook.com,9896118367,Female,55,Ahmedabad,Gujarat,India,380062,IT Services,Corporate,2025-03-01,2026-03-09,Gold,Valid
